COMID,order_,watershed,subbasin,region
9013667,1,south_america,geoglows,Amazon_River
9013668,4,south_america,geoglows,Amazon_River
9013670,2,south_america,geoglows,Amazon_River
9013671,4,south_america,geoglows,Amazon_River
9013672,4,south_america,geoglows,Amazon_River
9013686,1,south_america,geoglows,Amazon_River
9013687,4,south_america,geoglows,Amazon_River
9013688,4,south_america,geoglows,Amazon_River
9013689,1,south_america,geoglows,Amazon_River
9013692,1,south_america,geoglows,Amazon_River
9013693,1,south_america,geoglows,Amazon_River
9013696,4,south_america,geoglows,Amazon_River
9013699,2,south_america,geoglows,Amazon_River
9013700,4,south_america,geoglows,Amazon_River
9013701,4,south_america,geoglows,Guianas
9013704,1,south_america,geoglows,Amazon_River
9013706,4,south_america,geoglows,Amazon_River
9013710,1,south_america,geoglows,Guianas
9013712,1,south_america,geoglows,Amazon_River
9013713,5,south_america,geoglows,Amazon_River
9013714,4,south_america,geoglows,Amazon_River
9013722,4,south_america,geoglows,Amazon_River
9013723,1,south_america,geoglows,Amazon_River
9013724,1,south_america,geoglows,Amazon_River
9013731,3,south_america,geoglows,Guianas
9013736,1,south_america,geoglows,Amazon_River
9013737,4,south_america,geoglows,Amazon_River
9013748,1,south_america,geoglows,Amazon_River
9013750,1,south_america,geoglows,Amazon_River
9013751,5,south_america,geoglows,Amazon_River
9013758,1,south_america,geoglows,Amazon_River
9013759,1,south_america,geoglows,Amazon_River
9013764,1,south_america,geoglows,Orinoco_River
9013768,5,south_america,geoglows,Amazon_River
9013776,1,south_america,geoglows,Amazon_River
9013795,1,south_america,geoglows,Amazon_River
9013798,5,south_america,geoglows,Amazon_River
9013799,1,south_america,geoglows,Amazon_River
9013802,4,south_america,geoglows,Amazon_River
9013803,5,south_america,geoglows,Amazon_River
9013809,4,south_america,geoglows,Amazon_River
9013810,1,south_america,geoglows,Amazon_River
9013811,1,south_america,geoglows,Amazon_River
9013812,1,south_america,geoglows,Amazon_River
9013813,1,south_america,geoglows,Amazon_River
9013816,5,south_america,geoglows,Amazon_River
9013819,1,south_america,geoglows,Guianas
9013828,4,south_america,geoglows,Amazon_River
9013829,1,south_america,geoglows,Amazon_River
9013830,4,south_america,geoglows,Amazon_River
9013832,2,south_america,geoglows,Guianas
9013835,4,south_america,geoglows,Amazon_River
9013836,5,south_america,geoglows,Amazon_River
9013837,1,south_america,geoglows,Guianas
9013845,4,south_america,geoglows,Amazon_River
9013850,1,south_america,geoglows,Amazon_River
9013853,1,south_america,geoglows,Amazon_River
9013856,2,south_america,geoglows,Guianas
9013860,1,south_america,geoglows,Amazon_River
9013861,1,south_america,geoglows,Amazon_River
9013872,5,south_america,geoglows,Amazon_River
9013874,1,south_america,geoglows,Guianas
9013877,2,south_america,geoglows,Amazon_River
9013879,4,south_america,geoglows,Amazon_River
9013880,4,south_america,geoglows,Guianas
9013882,1,south_america,geoglows,Guianas
9013884,2,south_america,geoglows,Amazon_River
9013886,1,south_america,geoglows,Amazon_River
9013892,5,south_america,geoglows,Amazon_River
9013893,4,south_america,geoglows,Amazon_River
9013894,1,south_america,geoglows,Guianas
9013895,1,south_america,geoglows,Amazon_River
9013896,1,south_america,geoglows,Amazon_River
9013905,1,south_america,geoglows,Amazon_River
9013911,1,south_america,geoglows,Amazon_River
9013915,2,south_america,geoglows,Orinoco_River
9013916,2,south_america,geoglows,Amazon_River
9013918,1,south_america,geoglows,Amazon_River
9013923,4,south_america,geoglows,Amazon_River
9013924,2,south_america,geoglows,Amazon_River
9013934,1,south_america,geoglows,Orinoco_River
9013948,4,south_america,geoglows,Amazon_River
9013953,1,south_america,geoglows,Amazon_River
9013954,5,south_america,geoglows,Amazon_River
9013956,1,south_america,geoglows,Amazon_River
9013957,1,south_america,geoglows,Amazon_River
9013964,1,south_america,geoglows,Amazon_River
9013968,4,south_america,geoglows,Amazon_River
9013969,2,south_america,geoglows,Amazon_River
9013977,5,south_america,geoglows,Amazon_River
9013980,1,south_america,geoglows,Amazon_River
9013984,1,south_america,geoglows,Amazon_River
9013986,1,south_america,geoglows,Amazon_River
9013993,1,south_america,geoglows,Amazon_River
9013997,5,south_america,geoglows,Amazon_River
9013998,4,south_america,geoglows,Amazon_River
9014013,1,south_america,geoglows,Amazon_River
9014017,2,south_america,geoglows,Amazon_River
9014020,2,south_america,geoglows,Amazon_River
9014029,2,south_america,geoglows,Amazon_River
9014033,1,south_america,geoglows,Amazon_River
9014034,5,south_america,geoglows,Amazon_River
9014037,4,south_america,geoglows,Amazon_River
9014038,5,south_america,geoglows,Amazon_River
9014040,1,south_america,geoglows,Amazon_River
9014043,4,south_america,geoglows,Amazon_River
9014044,1,south_america,geoglows,Guianas
9014046,4,south_america,geoglows,Amazon_River
9014055,3,south_america,geoglows,Guianas
9014064,4,south_america,geoglows,Amazon_River
9014065,1,south_america,geoglows,Amazon_River
9014066,4,south_america,geoglows,Amazon_River
9014077,1,south_america,geoglows,Amazon_River
